college_team,college_conference,nfl_team,year,overall,draft_round,pick,name,position,height,weight,season_before_draft,rushing_car,rushing_yds,rushing_td,rushing_ypc,receiving_rec,receiving_yds,receiving_td,receiving_ypr,regular_season_games,regular_season_wins,regular_season_losses,postseason_games,postseason_wins,postseason_losses,forty,bench,vertical,broad_jump,cone,shuttle,attended_combine
Clemson,ACC,Buffalo,2010,9,1,9,C.J. Spiller,Running Back,71.0,196.0,2009,216,1212,12,5.6,36.0,503.0,4.0,14.0,13,8,5,1,1,0,4.37,18.0,,,,,Y
Fresno State,Western Athletic,Los Angeles,2010,12,1,12,Ryan Mathews,Running Back,72.0,218.0,2009,276,1808,19,6.6,11.0,122.0,0.0,11.1,12,8,4,1,0,1,4.37,19.0,36.0,121.0,7.0,4.33,Y
California,Pac-10,Detroit,2010,30,1,30,Jahvid Best,Running Back,70.0,199.0,2009,141,867,12,6.1,22.0,213.0,4.0,9.7,12,8,4,1,0,1,4.34,18.0,32.5,113.0,6.75,4.17,Y
Ole Miss,SEC,Kansas City,2010,36,2,4,Dexter McCluster,Running Back,69.0,172.0,2009,181,1169,8,6.5,44.0,520.0,3.0,11.8,12,8,4,1,1,0,4.53,20.0,37.5,118.0,,4.06,Y
Stanford,Pac-10,Minnesota,2010,51,2,19,Toby Gerhart,Running Back,72.0,231.0,2009,343,1871,27,5.5,11.0,157.0,0.0,14.3,12,8,4,1,0,1,4.5,22.0,38.0,118.0,6.94,4.25,Y
Auburn,SEC,Houston,2010,58,2,26,Ben Tate,Running Back,71.0,220.0,2009,263,1362,10,5.2,20.0,105.0,0.0,5.3,12,7,5,1,1,0,4.34,26.0,40.5,124.0,6.91,4.12,Y
Tennessee,SEC,Cleveland,2010,59,2,27,Montario Hardesty,Running Back,72.0,225.0,2009,282,1345,13,4.8,25.0,302.0,1.0,12.1,12,7,5,1,0,1,4.49,21.0,41.0,124.0,6.87,4.14,Y
USC,Pac-10,New York,2010,112,4,14,Joe McKnight,Running Back,71.0,198.0,2009,164,1014,8,6.2,22.0,146.0,0.0,6.6,12,8,4,1,1,0,4.4,18.0,36.5,120.0,,,Y
Georgia Tech,ACC,Pittsburgh,2010,188,6,19,Jonathan Dwyer,Running Back,71.0,229.0,2009,235,1395,14,5.9,5.0,37.0,0.0,7.4,13,11,2,1,0,1,4.64,15.0,33.0,107.0,7.56,4.67,Y
LSU,SEC,Philadelphia,2010,200,6,31,Charles Scott,Running Back,71.0,238.0,2009,116,542,4,4.7,8.0,54.0,1.0,6.8,12,9,3,1,0,1,4.68,,30.5,111.0,6.98,4.47,Y
Alabama,SEC,New Orleans,2011,28,1,28,Mark Ingram,Running Back,69.0,215.0,2010,158,875,13,5.5,21.0,282.0,1.0,13.4,12,9,3,1,1,0,4.62,21.0,31.5,118.0,7.13,4.62,Y
Virginia Tech,ACC,Arizona,2011,38,2,6,Ryan Williams,Running Back,69.0,212.0,2010,110,477,9,4.3,10.0,109.0,1.0,10.9,13,11,2,1,0,1,4.59,19.0,40.0,123.0,6.96,4.18,Y
California,Pac-10,New England,2011,56,2,24,Shane Vereen,Running Back,69.0,203.0,2010,231,1167,13,5.1,22.0,209.0,3.0,9.5,12,5,7,0,0,0,4.49,31.0,34.0,115.0,6.95,4.28,Y
Illinois,Big Ten,Detroit,2011,57,2,25,Mikel Leshoure,Running Back,72.0,227.0,2010,281,1697,17,6.0,17.0,196.0,3.0,11.5,12,6,6,1,1,0,4.56,21.0,38.0,122.0,6.82,4.4,Y
Kansas State,Big 12,Miami,2011,62,2,30,Daniel Thomas,Running Back,72.0,230.0,2010,298,1585,19,5.3,27.0,171.0,0.0,6.3,12,7,5,1,0,1,4.62,21.0,,,,,Y
LSU,SEC,New England,2011,73,3,9,Stevan Ridley,Running Back,71.0,225.0,2010,249,1147,15,4.6,11.0,61.0,0.0,5.5,12,10,2,1,1,0,4.65,18.0,36.0,118.0,6.78,4.21,Y
Oklahoma State,Big 12,San Francisco,2011,115,4,18,Kendall Hunter,Running Back,67.0,199.0,2010,271,1548,16,5.7,20.0,101.0,0.0,5.1,12,10,2,1,1,0,4.46,24.0,35.0,122.0,6.74,4.21,Y
Syracuse,Big East,Indianapolis,2011,119,4,22,Delone Carter,Running Back,69.0,225.0,2010,231,1233,9,5.3,8.0,45.0,0.0,5.6,12,7,5,1,1,0,4.54,27.0,37.0,120.0,6.92,4.07,Y
Louisville,Big East,New York,2011,126,4,29,Bilal Powell,Running Back,71.0,207.0,2010,229,1405,11,6.1,18.0,158.0,3.0,8.8,12,6,6,1,1,0,4.51,18.0,,,,,Y
Clemson,ACC,Tennessee,2011,130,4,33,Jamie Harper,Running Back,71.0,233.0,2010,197,760,7,3.9,37.0,320.0,3.0,8.6,12,6,6,1,0,1,4.53,24.0,36.5,120.0,7.16,4.39,Y
North Carolina,ACC,Buffalo,2011,133,5,2,Johnny White,Running Back,70.0,209.0,2010,130,720,7,5.5,24.0,288.0,0.0,12.0,12,7,5,1,1,0,4.5,,32.5,117.0,7.07,4.31,Y
Oregon State,Pac-10,Atlanta,2011,145,5,14,Jacquizz Rodgers,Running Back,66.0,196.0,2010,256,1184,14,4.6,44.0,287.0,3.0,6.5,12,5,7,0,0,0,4.59,,33.0,113.0,7.31,4.26,Y
Pittsburgh,Big East,Philadelphia,2011,149,5,18,Dion Lewis,Running Back,67.0,193.0,2010,219,1061,13,4.8,27.0,216.0,0.0,8.0,12,7,5,1,1,0,4.56,17.0,34.5,112.0,6.9,4.18,Y
Penn State,Big Ten,Washington,2011,177,6,12,Evan Royster,Running Back,72.0,212.0,2010,208,1014,6,4.9,25.0,202.0,1.0,8.1,12,7,5,1,0,1,4.65,20.0,34.0,113.0,7.07,4.18,Y
UConn,Big East,Los Angeles,2011,183,6,18,Jordan Todman,Running Back,69.0,203.0,2010,334,1695,14,5.1,19.0,94.0,0.0,4.9,12,8,4,1,0,1,4.4,25.0,38.0,126.0,7.24,4.18,Y
USC,Pac-10,Tampa Bay,2011,187,6,22,Allen Bradford,Running Back,72.0,242.0,2010,110,794,5,7.2,3.0,74.0,1.0,24.7,13,8,5,0,0,0,4.53,28.0,29.0,113.0,6.97,4.39,Y
Maryland,ACC,New York,2011,221,7,18,Da'Rel Scott,Running Back,71.0,211.0,2010,122,708,5,5.8,14.0,170.0,3.0,12.1,12,8,4,1,1,0,4.4,19.0,34.0,117.0,7.15,4.2,Y
Georgia Tech,ACC,Baltimore,2011,225,7,22,Anthony Allen,Running Back,73.0,228.0,2010,240,1316,7,5.5,3.0,88.0,1.0,29.3,12,6,6,1,0,1,4.56,24.0,41.5,120.0,6.79,4.06,Y
Texas Tech,Big 12,Pittsburgh,2011,232,7,29,Baron Batch,Running Back,69.0,202.0,2010,177,816,5,4.6,32.0,226.0,3.0,7.1,12,7,5,1,1,0,,,,,,,N
Baylor,Big 12,Cincinnati,2011,246,7,43,Jay Finley,Running Back,71.0,198.0,2010,195,1218,12,6.2,9.0,76.0,0.0,8.4,12,7,5,1,0,1,,,,,,,N
Alabama,SEC,Cleveland,2012,3,1,3,Trent Richardson,Running Back,69.0,228.0,2011,283,1679,21,5.9,29.0,338.0,3.0,11.7,12,11,1,1,1,0,4.48,,,,,,Y
Boise State,Mountain West,Tampa Bay,2012,31,1,31,Doug Martin,Running Back,69.0,223.0,2011,263,1299,16,4.9,28.0,255.0,2.0,9.1,12,11,1,1,1,0,4.46,28.0,36.0,120.0,6.79,4.16,Y
Virginia Tech,ACC,New York,2012,32,1,32,David Wilson,Running Back,70.0,206.0,2011,290,1709,9,5.9,22.0,129.0,1.0,5.9,13,11,2,1,0,1,4.38,,41.0,132.0,7.09,4.12,Y
Cincinnati,Big East,Los Angeles,2012,50,2,18,Isaiah Pead,Running Back,70.0,197.0,2011,237,1259,12,5.3,39.0,319.0,3.0,8.2,12,9,3,1,1,0,4.39,,33.0,116.0,6.95,4.32,Y
San Diego State,Mountain West,Denver,2012,67,3,4,Ronnie Hillman,Running Back,69.0,200.0,2011,311,1711,19,5.5,24.0,270.0,1.0,11.3,12,8,4,1,0,1,4.42,17.0,37.0,,,,Y
Temple,Mid-American,Baltimore,2012,84,3,21,Bernard Pierce,Running Back,72.0,218.0,2011,249,1292,24,5.2,3.0,52.0,0.0,17.3,12,8,4,1,1,0,4.45,17.0,36.5,123.0,7.07,4.28,Y
Miami,ACC,Miami,2012,97,4,2,Lamar Miller,Running Back,71.0,212.0,2011,227,1272,9,5.6,17.0,85.0,1.0,5.0,12,6,6,0,0,0,4.34,,33.0,,,,Y
Utah State,Western Athletic,Seattle,2012,106,4,11,Robert Turbin,Running Back,70.0,222.0,2011,249,1517,19,6.1,17.0,171.0,4.0,10.1,12,7,5,1,0,1,4.42,28.0,36.0,122.0,7.16,4.31,Y
Florida,SEC,Pittsburgh,2012,159,5,24,Chris Rainey,Running Back,68.0,180.0,2011,171,861,2,5.0,31.0,381.0,2.0,12.3,12,6,6,1,1,0,4.36,16.0,36.5,120.0,6.5,3.93,Y
Mississippi State,SEC,Indianapolis,2012,170,5,35,Vick Ballard,Running Back,70.0,219.0,2011,193,1189,10,6.2,20.0,187.0,1.0,9.4,12,6,6,1,1,0,4.59,23.0,33.0,115.0,7.03,4.19,Y
Florida Atlantic,Sun Belt,Washington,2012,173,6,3,Alfred Morris,Running Back,70.0,219.0,2011,214,1114,9,5.2,14.0,133.0,1.0,9.5,12,1,11,0,0,0,4.63,16.0,35.5,117.0,7.01,4.19,Y
Texas A&M,Big 12,Kansas City,2012,182,6,12,Cyrus Gray,Running Back,70.0,206.0,2011,198,1045,12,5.3,31.0,239.0,3.0,7.7,12,6,6,1,1,0,4.4,21.0,32.5,114.0,7.17,,Y
Baylor,Big 12,New York,2012,202,6,32,Terrance Ganaway,Running Back,72.0,239.0,2011,250,1547,21,6.2,6.0,52.0,1.0,8.7,12,9,3,1,1,0,4.61,,37.5,119.0,7.15,4.25,Y
Utah State,Western Athletic,Tampa Bay,2012,212,7,5,Michael Smith,Running Back,68.0,206.0,2011,114,870,9,7.6,16.0,181.0,2.0,11.3,12,7,5,1,0,1,,,,,,,N
Kansas State,Big 12,Philadelphia,2012,229,7,22,Bryce Brown,Running Back,72.0,219.0,2011,3,16,0,5.3,1.0,3.0,0.0,3.0,12,10,2,1,0,1,,,,,,,N
Michigan State,Big Ten,Los Angeles,2012,250,7,43,Edwin Baker,Running Back,68.0,204.0,2011,170,665,5,3.9,5.0,60.0,1.0,12.0,13,10,3,1,1,0,4.44,20.0,35.0,111.0,7.27,4.31,Y
North Carolina,ACC,Cincinnati,2013,37,2,5,Giovani Bernard,Running Back,68.0,202.0,2012,184,1228,12,6.7,47.0,490.0,5.0,10.4,12,8,4,0,0,0,4.53,19.0,33.5,122.0,6.91,4.12,Y
Wisconsin,Big Ten,Denver,2013,58,2,26,Montee Ball,Running Back,71.0,214.0,2012,356,1830,22,5.1,10.0,72.0,0.0,7.2,13,8,5,1,0,1,4.66,15.0,32.0,118.0,6.88,4.4,Y
Alabama,SEC,Green Bay,2013,61,2,29,Eddie Lacy,Running Back,71.0,231.0,2012,204,1322,17,6.5,22.0,189.0,2.0,8.6,13,12,1,1,1,0,4.55,,,,,,Y
Texas A&M,SEC,Seattle,2013,62,2,30,Christine Michael,Running Back,70.0,220.0,2012,88,417,12,4.7,8.0,48.0,0.0,6.0,12,10,2,1,1,0,4.54,27.0,43.0,125.0,6.69,4.02,Y
Arkansas,SEC,Kansas City,2013,96,3,34,Knile Davis,Running Back,71.0,227.0,2012,112,377,2,3.4,11.0,157.0,1.0,14.3,12,4,8,0,0,0,4.37,31.0,33.5,121.0,6.96,4.38,Y
UCLA,Pac-12,Green Bay,2013,125,4,28,Johnathan Franklin,Running Back,70.0,205.0,2012,282,1734,13,6.1,33.0,323.0,2.0,9.8,13,9,4,1,0,1,4.49,18.0,31.5,115.0,6.89,4.31,Y
South Carolina,SEC,San Francisco,2013,131,4,34,Marcus Lattimore,Running Back,71.0,221.0,2012,143,662,11,4.6,26.0,173.0,0.0,6.7,12,10,2,1,1,0,4.65,,,,,,Y
Stanford,Pac-12,Arizona,2013,140,5,7,Stepfan Taylor,Running Back,69.0,214.0,2012,322,1530,13,4.8,41.0,287.0,2.0,7.0,13,11,2,1,1,0,4.76,17.0,30.0,110.0,7.13,4.5,Y
Oklahoma State,Big 12,Dallas,2013,151,5,18,Joseph Randle,Running Back,72.0,204.0,2012,274,1417,14,5.2,28.0,224.0,0.0,8.0,12,7,5,1,1,0,4.63,,35.0,123.0,,,Y
Florida State,ACC,Washington,2013,154,5,21,Chris Thompson,Running Back,67.0,192.0,2012,91,687,5,7.5,21.0,248.0,0.0,11.8,13,11,2,1,1,0,4.42,21.0,,,,,Y
Florida,SEC,Miami,2013,164,5,31,Mike Gillislee,Running Back,71.0,208.0,2012,244,1152,10,4.7,16.0,159.0,1.0,9.9,12,11,1,1,0,1,4.55,15.0,30.5,119.0,7.12,4.4,Y
UCF,Conference USA,Las Vegas,2013,181,6,13,Latavius Murray,Running Back,75.0,224.0,2012,198,1106,15,5.6,27.0,231.0,4.0,8.6,13,9,4,1,1,0,,,,,,,N
Oregon,Pac-12,Carolina,2013,182,6,14,Kenjon Barner,Running Back,69.0,196.0,2012,278,1767,21,6.4,20.0,256.0,2.0,12.8,12,11,1,1,1,0,4.52,20.0,35.5,122.0,6.87,4.2,Y
Clemson,ACC,Arizona,2013,187,6,19,Andre Ellington,Running Back,69.0,199.0,2012,212,1081,8,5.1,14.0,232.0,1.0,16.6,12,10,2,1,1,0,4.61,,34.0,122.0,,,Y
Miami,ACC,Tampa Bay,2013,189,6,21,Mike James,Running Back,62.0,223.0,2012,147,621,6,4.2,30.0,344.0,3.0,11.5,12,7,5,0,0,0,4.53,28.0,35.0,115.0,,4.62,Y
Nebraska,Big Ten,Cincinnati,2013,190,6,22,Rex Burkhead,Running Back,70.0,214.0,2012,98,675,5,6.9,11.0,92.0,2.0,8.4,13,10,3,1,0,1,4.73,21.0,39.0,125.0,6.85,4.09,Y
LSU,SEC,Seattle,2013,194,6,26,Spencer Ware,Running Back,70.0,228.0,2012,94,367,1,3.9,18.0,230.0,1.0,12.8,12,10,2,1,0,1,4.62,,,,,,Y
Notre Dame,FBS Independents,Detroit,2013,199,6,31,Theo Riddick,Running Back,,201.0,2012,190,917,5,4.8,36.0,370.0,2.0,10.3,12,12,0,1,0,1,4.68,,32.0,118.0,,,Y
Rutgers,Big East,Washington,2013,228,7,22,Jawan Jamison,Running Back,67.0,203.0,2012,255,1075,4,4.2,28.0,323.0,2.0,11.5,12,9,3,1,0,1,4.68,20.0,29.0,110.0,,,Y
Utah State,Western Athletic,Indianapolis,2013,230,7,24,Kerwynn Williams,Running Back,68.0,195.0,2012,218,1512,15,6.9,45.0,697.0,5.0,15.5,12,10,2,1,1,0,4.48,17.0,35.0,118.0,7.15,4.15,Y
Massachusetts,Mid-American,New York,2013,253,7,47,Michael Cox,Running Back,72.0,220.0,2012,198,710,5,3.6,13.0,63.0,0.0,4.8,12,1,11,0,0,0,,,,,,,N
Washington,Pac-12,Tennessee,2014,54,2,22,Bishop Sankey,Running Back,70.0,209.0,2013,327,1870,20,5.7,28.0,304.0,1.0,10.9,12,8,4,1,1,0,4.49,26.0,35.5,126.0,6.75,4.0,Y
LSU,SEC,Cincinnati,2014,55,2,23,Jeremy Hill,Running Back,73.0,233.0,2013,203,1401,16,6.9,18.0,181.0,0.0,10.1,12,9,3,1,1,0,4.56,20.0,29.0,113.0,,,Y
Ohio State,Big Ten,San Francisco,2014,57,2,25,Carlos Hyde,Running Back,72.0,230.0,2013,208,1521,15,7.3,16.0,147.0,3.0,9.2,13,12,1,1,0,1,4.62,19.0,34.5,114.0,,,Y
West Virginia,Big 12,Tampa Bay,2014,69,3,5,Charles Sims,Running Back,72.0,214.0,2013,208,1095,11,5.3,45.0,401.0,3.0,8.9,12,4,8,0,0,0,4.48,17.0,37.5,126.0,7.16,4.3,Y
Auburn,SEC,Los Angeles,2014,75,3,11,Tre Mason,Running Back,69.0,207.0,2013,317,1816,23,5.7,12.0,163.0,1.0,13.6,13,12,1,1,0,1,4.5,,38.5,126.0,,4.15,Y
Towson,CAA,Cleveland,2014,94,3,30,Terrance West,Running Back,69.0,225.0,2013,36,156,2,4.3,1.0,2.0,0.0,2.0,12,10,2,2,1,1,4.56,16.0,33.5,120.0,,,Y
Georgia Southern,Southern,Minnesota,2014,96,3,32,Jerick McKinnon,Running Back,69.0,209.0,2013,9,125,1,13.9,,,,,11,7,4,0,0,0,4.41,32.0,40.5,132.0,6.83,4.12,Y
Kent State,Mid-American,Pittsburgh,2014,97,3,33,Dri Archer,Running Back,68.0,173.0,2013,68,527,6,7.8,25.0,327.0,4.0,13.1,12,4,8,0,0,0,4.26,20.0,38.0,122.0,6.86,4.06,Y
Florida State,ACC,Atlanta,2014,103,4,3,Devonta Freeman,Running Back,68.0,206.0,2013,173,1016,14,5.9,22.0,278.0,1.0,12.6,13,13,0,1,1,0,4.58,,31.5,118.0,7.11,4.26,Y
Boston College,ACC,New York,2014,113,4,13,Andre Williams,Running Back,71.0,230.0,2013,355,2177,18,6.1,,,,,12,7,5,1,0,1,4.56,,38.0,129.0,7.27,4.06,Y
Arizona,Pac-12,Chicago,2014,117,4,17,Ka'Deem Carey,Running Back,69.0,207.0,2013,349,1885,19,5.4,26.0,173.0,1.0,6.7,12,7,5,1,1,0,4.69,19.0,32.5,115.0,7.08,4.38,Y
Oregon,Pac-12,Kansas City,2014,124,4,24,De'Anthony Thomas,Running Back,69.0,174.0,2013,96,594,8,6.2,22.0,246.0,1.0,11.2,12,10,2,1,1,0,4.39,8.0,32.0,124.0,,,Y
Wisconsin,Big Ten,New England,2014,130,4,30,James White,Running Back,69.0,204.0,2013,221,1444,13,6.5,39.0,300.0,2.0,7.7,12,9,3,1,0,1,4.57,23.0,32.0,114.0,7.05,4.2,Y
Coastal Carolina,Big South,Baltimore,2014,138,4,38,Lorenzo Taliaferro,Running Back,72.0,229.0,2013,10,21,0,2.1,4.0,11.0,1.0,2.8,13,11,2,0,0,0,4.58,18.0,33.0,118.0,6.88,4.22,Y
LSU,SEC,Houston,2014,181,6,5,Alfred Blue,Running Back,74.0,223.0,2013,71,343,1,4.8,5.0,62.0,0.0,12.4,12,9,3,1,1,0,4.63,13.0,32.0,121.0,7.15,4.5,Y
Baylor,Big 12,Washington,2014,186,6,10,Lache Seastrunk,Running Back,70.0,201.0,2013,158,1177,11,7.4,,,,,12,11,1,1,0,1,4.51,15.0,41.5,134.0,,,Y
Arizona State,Pac-12,Los Angeles,2014,201,6,25,Marion Grice,Running Back,72.0,208.0,2013,191,996,14,5.2,50.0,438.0,6.0,8.8,13,10,3,1,0,1,4.67,,,,,,Y
Stanford,Pac-12,Carolina,2014,204,6,28,Tyler Gaffney,Running Back,72.0,220.0,2013,330,1709,21,5.2,15.0,86.0,1.0,5.7,13,11,2,1,0,1,4.49,,36.5,116.0,6.78,4.18,Y
UCF,American Athletic,Jacksonville,2014,222,7,7,Storm Johnson,Running Back,72.0,209.0,2013,213,1139,14,5.3,30.0,260.0,3.0,8.7,12,11,1,1,1,0,4.6,16.0,35.5,118.0,,,Y
Wisconsin,Big Ten,Los Angeles,2015,15,1,15,Melvin Gordon,Running Back,73.0,215.0,2014,343,2587,29,7.5,19.0,153.0,3.0,8.1,13,10,3,1,1,0,4.52,19.0,35.0,126.0,7.04,4.07,Y
Alabama,SEC,Jacksonville,2015,36,2,4,T.J. Yeldon,Running Back,73.0,226.0,2014,194,979,11,5.0,15.0,180.0,1.0,12.0,13,12,1,1,0,1,4.61,22.0,36.0,117.0,7.19,4.22,Y
Nebraska,Big Ten,Detroit,2015,54,2,22,Ameer Abdullah,Running Back,69.0,205.0,2014,264,1611,19,6.1,22.0,269.0,3.0,12.2,12,9,3,1,0,1,4.6,24.0,42.5,130.0,6.79,3.95,Y
